,Time,SA T,SA T Set,OA T,MA T,RA T,SA Fan Stat,RA Fan Stat,SA Speed,RA Speed,OA Damper,RA Damper,Cooling valve,Heating valve,SA Pressure Set,SA Pressure,Occupancy,Fault
161280,8/21/2017 0:00,68.0,55.04,39.2,68.0,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161281,8/21/2017 0:01,67.99,55.04,39.2,66.71,75.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161282,8/21/2017 0:02,67.99,55.04,62.21,66.71,75.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161283,8/21/2017 0:03,67.99,55.04,62.17,66.71,75.08,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161284,8/21/2017 0:04,67.99,55.04,62.14,66.71,75.04,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161285,8/21/2017 0:05,67.99,55.04,62.11,66.71,75.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161286,8/21/2017 0:06,67.99,55.04,62.08,66.71,74.98,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161287,8/21/2017 0:07,67.99,55.04,62.04,66.71,74.95,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161288,8/21/2017 0:08,67.99,55.04,62.01,66.71,74.92,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161289,8/21/2017 0:09,67.99,55.04,61.98,66.71,74.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161290,8/21/2017 0:10,67.99,55.04,61.94,66.71,74.87,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161291,8/21/2017 0:11,67.99,55.04,61.91,66.71,74.85,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161292,8/21/2017 0:12,67.99,55.04,61.88,66.71,74.82,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161293,8/21/2017 0:13,67.99,55.04,61.84,66.71,74.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161294,8/21/2017 0:14,67.99,55.04,61.81,66.71,74.78,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161295,8/21/2017 0:15,67.99,55.04,61.78,66.71,74.76,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161296,8/21/2017 0:16,67.99,55.04,61.74,66.71,74.74,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161297,8/21/2017 0:17,67.99,55.04,61.71,66.71,74.72,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161298,8/21/2017 0:18,67.99,55.04,61.68,66.71,74.7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161299,8/21/2017 0:19,67.99,55.04,61.65,66.71,74.68,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161300,8/21/2017 0:20,67.99,55.04,61.61,66.71,74.66,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161301,8/21/2017 0:21,67.99,55.04,61.58,66.71,74.65,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161302,8/21/2017 0:22,67.99,55.04,61.55,66.71,74.63,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161303,8/21/2017 0:23,67.99,55.04,61.51,66.71,74.61,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161304,8/21/2017 0:24,67.99,55.04,61.48,66.71,74.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161305,8/21/2017 0:25,67.99,55.04,61.45,66.71,74.58,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161306,8/21/2017 0:26,67.99,55.04,61.42,66.71,74.57,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161307,8/21/2017 0:27,67.99,55.04,61.38,66.71,74.55,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161308,8/21/2017 0:28,67.99,55.04,61.35,66.71,74.54,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161309,8/21/2017 0:29,67.99,55.04,61.32,66.71,74.53,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161310,8/21/2017 0:30,67.99,55.04,61.28,66.71,74.51,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161311,8/21/2017 0:31,67.99,55.04,61.25,66.71,74.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161312,8/21/2017 0:32,67.99,55.04,61.22,66.71,74.49,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161313,8/21/2017 0:33,67.99,55.04,61.18,66.71,74.48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161314,8/21/2017 0:34,67.99,55.04,61.15,66.71,74.47,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161315,8/21/2017 0:35,67.99,55.04,61.12,66.71,74.45,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161316,8/21/2017 0:36,67.99,55.04,61.08,66.71,74.44,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161317,8/21/2017 0:37,67.99,55.04,61.05,66.71,74.43,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161318,8/21/2017 0:38,67.99,55.04,61.02,66.71,74.42,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161319,8/21/2017 0:39,67.99,55.04,60.99,66.71,74.41,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161320,8/21/2017 0:40,67.99,55.04,60.95,66.71,74.4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161321,8/21/2017 0:41,67.99,55.04,60.92,66.71,74.39,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161322,8/21/2017 0:42,67.99,55.04,60.89,66.71,74.38,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161323,8/21/2017 0:43,67.99,55.04,60.85,66.71,74.37,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161324,8/21/2017 0:44,67.99,55.04,60.82,66.71,74.36,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161325,8/21/2017 0:45,67.99,55.04,60.79,66.71,74.35,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161326,8/21/2017 0:46,67.99,55.04,60.76,66.71,74.34,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161327,8/21/2017 0:47,67.99,55.04,60.72,66.71,74.34,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161328,8/21/2017 0:48,67.99,55.04,60.69,66.71,74.33,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161329,8/21/2017 0:49,67.99,55.04,60.66,66.71,74.32,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161330,8/21/2017 0:50,67.99,55.04,60.62,66.71,74.31,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161331,8/21/2017 0:51,67.99,55.04,60.59,66.71,74.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161332,8/21/2017 0:52,67.99,55.04,60.56,66.71,74.29,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161333,8/21/2017 0:53,67.99,55.04,60.52,66.71,74.29,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161334,8/21/2017 0:54,67.99,55.04,60.49,66.71,74.28,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161335,8/21/2017 0:55,67.99,55.04,60.46,66.71,74.27,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161336,8/21/2017 0:56,67.99,55.04,60.43,66.71,74.26,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161337,8/21/2017 0:57,67.99,55.04,60.39,66.71,74.25,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
161338,8/21/2017 0:58,67.99,55.04,60.36,66.71,74.25,0,0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0,1
