,loss,accuracy,val_loss,val_accuracy
0,1.3015789985656738,0.48853686451911926,1.1672390699386597,0.4966622292995453
1,1.0675486326217651,0.5394717454910278,0.9500717520713806,0.6084779500961304
2,0.8737691640853882,0.654177188873291,0.8249928951263428,0.6972630023956299
3,0.8100499510765076,0.6780679821968079,0.7710340619087219,0.7089452743530273
4,0.7168473601341248,0.7349013090133667,0.6199977397918701,0.7663551568984985
5,0.5599928498268127,0.7942202091217041,0.5190697312355042,0.7897196412086487
6,0.4980236291885376,0.8338403105735779,0.45939284563064575,0.8437917232513428
7,0.4605666995048523,0.8480486869812012,0.44176843762397766,0.84112149477005
8,0.43386968970298767,0.8550230264663696,0.4163692891597748,0.8491321802139282
9,0.41965585947036743,0.8604392409324646,0.4070786237716675,0.8664886355400085
10,0.4018878936767578,0.86685711145401,0.4195454716682434,0.8558077216148376
11,0.38811859488487244,0.8714200854301453,0.3789113163948059,0.8614819645881653
12,0.38689351081848145,0.8720136284828186,0.3682388365268707,0.8738317489624023
13,0.3691765367984772,0.8799524903297424,0.34696635603904724,0.8761682510375977
14,0.35473576188087463,0.8840332627296448,0.37805405259132385,0.8651535511016846
15,0.34970957040786743,0.8840332627296448,0.369754433631897,0.865821123123169
16,0.34738242626190186,0.8848493695259094,0.315486878156662,0.8968625068664551
17,0.33678698539733887,0.8881510496139526,0.35240766406059265,0.8801735639572144
18,0.32607561349868774,0.8935673236846924,0.336725115776062,0.8888518214225769
19,0.3158087730407715,0.8972770571708679,0.29016754031181335,0.8995327353477478
20,0.31808531284332275,0.8942721486091614,0.37340810894966125,0.8601468801498413
21,0.31818249821662903,0.8961270451545715,0.2860412895679474,0.901201605796814
22,0.2952968180179596,0.9014319777488708,0.2917920649051666,0.9022029638290405
23,0.32492735981941223,0.894568920135498,0.34228962659835815,0.8711615204811096
24,0.2919175922870636,0.9043997526168823,0.2913992404937744,0.8988651633262634
25,0.282090961933136,0.9055497646331787,0.37638619542121887,0.8818424344062805
26,0.2819696068763733,0.9065884947776794,0.25426197052001953,0.9125500917434692
27,0.26377788186073303,0.909259557723999,0.2589800953865051,0.9165554046630859
28,0.3010815680027008,0.8987609148025513,0.26019513607025146,0.9072096347808838
29,0.2611376643180847,0.9120047688484192,0.33470413088798523,0.8574766516685486
30,0.2773100733757019,0.9069594740867615,0.24737724661827087,0.9098798632621765
31,0.2485211044549942,0.9158628582954407,0.26008597016334534,0.9098798632621765
32,0.251996785402298,0.9157145023345947,0.24135038256645203,0.9155540466308594
33,0.24128225445747375,0.9164193272590637,0.22773377597332,0.9148865342140198
34,0.2464326024055481,0.9155290126800537,0.25516438484191895,0.9145527482032776
35,0.2760058343410492,0.9031013250350952,0.2432345449924469,0.9042056202888489
36,0.24236294627189636,0.9171984195709229,0.2513388991355896,0.9128838181495667
37,0.2434724122285843,0.9153435230255127,0.24547246098518372,0.9028704762458801
38,0.24741141498088837,0.9130063652992249,0.29532769322395325,0.8865153789520264
